device_id,epoch,pc1,progress_01,pc1_scaled,cluster_global
DV_device2_features_pca_scores,0,-5.165952453262283,0.0,0.0,0.0
DV_device2_features_pca_scores,1,-4.6847793267380045,0.009615384615384616,0.057225320439793004,0.0
DV_device2_features_pca_scores,2,-4.531806614586756,0.019230769230769232,0.07541817450592236,0.0
DV_device2_features_pca_scores,3,-4.5096931825554325,0.028846153846153848,0.07804809742609242,0.0
DV_device2_features_pca_scores,4,-4.514247766423589,0.038461538461538464,0.07750642644124783,0.0
DV_device2_features_pca_scores,5,-4.542481179994873,0.04807692307692308,0.07414866174146795,0.0
DV_device2_features_pca_scores,6,-4.135906896528952,0.057692307692307696,0.12250203471967103,0.0
DV_device2_features_pca_scores,7,-3.727308074222055,0.0673076923076923,0.17109618357984108,1.0
DV_device2_features_pca_scores,8,-3.560251929979988,0.07692307692307693,0.1909639626778622,1.0
DV_device2_features_pca_scores,9,-3.261074154053032,0.08653846153846154,0.22654480282068928,1.0
DV_device2_features_pca_scores,10,-3.2264317766422312,0.09615384615384616,0.23066477760491966,1.0
DV_device2_features_pca_scores,11,-3.224333961830076,0.10576923076923077,0.23091426810684373,1.0
DV_device2_features_pca_scores,12,-3.2837792181925805,0.11538461538461539,0.22384451783100762,1.0
DV_device2_features_pca_scores,13,-2.467999718149549,0.125,0.3208641573844254,2.0
DV_device2_features_pca_scores,14,-2.6246337914746585,0.1346153846153846,0.3022358621956101,2.0
DV_device2_features_pca_scores,15,-2.631506246553083,0.14423076923076922,0.301418529675584,2.0
DV_device2_features_pca_scores,16,-2.674046873036813,0.15384615384615385,0.2963592259696067,2.0
DV_device2_features_pca_scores,17,-2.638285182047802,0.16346153846153846,0.3006123193231312,2.0
DV_device2_features_pca_scores,18,-2.607374662591336,0.17307692307692307,0.30428846889040645,2.0
DV_device2_features_pca_scores,19,-2.558160411595039,0.18269230769230768,0.3101414584449372,2.0
DV_device2_features_pca_scores,20,-2.4208533465856954,0.19230769230769232,0.32647121661444445,2.0
DV_device2_features_pca_scores,21,-2.367112515881372,0.20192307692307693,0.33286254665394616,2.0
DV_device2_features_pca_scores,22,-2.336975739900519,0.21153846153846154,0.33644667587368043,2.0
DV_device2_features_pca_scores,23,-1.686821118091273,0.22115384615384615,0.41376875501221533,3.0
DV_device2_features_pca_scores,24,-1.6576450842263613,0.23076923076923078,0.4172386243690976,3.0
DV_device2_features_pca_scores,25,-1.7585166067163427,0.2403846153846154,0.4052420998760621,3.0
DV_device2_features_pca_scores,26,-1.6198234958602695,0.25,0.42173669875123443,3.0
DV_device2_features_pca_scores,27,-1.5636933552635637,0.25961538461538464,0.4284121864393754,3.0
DV_device2_features_pca_scores,28,-1.528155809627709,0.2692307692307692,0.43263862246531365,3.0
DV_device2_features_pca_scores,29,-1.6528861108996846,0.27884615384615385,0.4178046031375934,3.0
DV_device2_features_pca_scores,30,-1.4361734857791089,0.28846153846153844,0.44357796563905877,3.0
DV_device2_features_pca_scores,31,-1.6026520811559923,0.2980769230769231,0.4237788737080007,3.0
DV_device2_features_pca_scores,32,-1.3607332300671393,0.3076923076923077,0.4525499812592194,3.0
DV_device2_features_pca_scores,33,-1.4962980498696694,0.3173076923076923,0.4364274261414802,3.0
DV_device2_features_pca_scores,34,-1.3964638709345878,0.3269230769230769,0.44830058065796674,3.0
DV_device2_features_pca_scores,35,-1.469499072440493,0.33653846153846156,0.43961459513805556,3.0
DV_device2_features_pca_scores,36,-1.4244814015024,0.34615384615384615,0.4449684906548193,3.0
DV_device2_features_pca_scores,37,-0.7504263124365602,0.3557692307692308,0.5251330225863831,3.0
DV_device2_features_pca_scores,38,-0.742681539486541,0.36538461538461536,0.5260540987840496,3.0
DV_device2_features_pca_scores,39,-0.6686670741965905,0.375,0.534856546925724,4.0
DV_device2_features_pca_scores,40,-0.7565902009661278,0.38461538461538464,0.5243999590032034,4.0
DV_device2_features_pca_scores,41,-0.5251092643551631,0.3942307692307692,0.5519296983902543,4.0
DV_device2_features_pca_scores,42,-0.4211864701673901,0.40384615384615385,0.5642891068247025,4.0
DV_device2_features_pca_scores,43,-0.4208967673574116,0.41346153846153844,0.56432356081895,4.0
DV_device2_features_pca_scores,44,-0.1994913831057452,0.4230769230769231,0.5906550273171269,4.0
DV_device2_features_pca_scores,45,0.0720346332689028,0.4326923076923077,0.6229472781479632,4.0
DV_device2_features_pca_scores,46,0.0904841197976217,0.4423076923076923,0.6251414525944498,4.0
DV_device2_features_pca_scores,47,-0.1827285396842357,0.4519230769230769,0.5926486114002762,4.0
DV_device2_features_pca_scores,48,-0.1283639795468968,0.46153846153846156,0.5991141208041365,4.0
DV_device2_features_pca_scores,49,-0.1198533138611638,0.47115384615384615,0.6001262836706291,4.0
